site_id,energy_source_id,energy_date,energy_consumption_kwh,energy_cost
1,1,2025-01-01,333.38,60.01
1,2,2025-01-01,166.69,15.0
1,3,2025-01-01,66.68,3.33
1,4,2025-01-01,33.34,2.0
1,5,2025-01-01,66.68,4.67
2,1,2025-01-01,18.29,3.29
2,2,2025-01-01,6.86,0.62
2,3,2025-01-01,4.57,0.23
2,4,2025-01-01,9.14,0.55
2,5,2025-01-01,6.86,0.48
3,1,2025-01-01,325.77,58.64
3,2,2025-01-01,93.08,8.38
3,3,2025-01-01,325.77,16.29
3,4,2025-01-01,93.08,5.58
3,5,2025-01-01,93.08,6.52
4,1,2025-01-01,145.46,26.18
4,2,2025-01-01,58.18,5.24
4,3,2025-01-01,29.09,1.45
4,4,2025-01-01,14.55,0.87
4,5,2025-01-01,43.64,3.05
5,1,2025-01-01,968.42,174.32
5,2,2025-01-01,553.38,49.8
5,3,2025-01-01,276.69,13.83
5,4,2025-01-01,276.69,16.6
5,5,2025-01-01,691.73,48.42
1,1,2025-01-02,379.8,68.36
1,2,2025-01-02,189.9,17.09
1,3,2025-01-02,75.96,3.8
1,4,2025-01-02,37.98,2.28
1,5,2025-01-02,75.96,5.32
2,1,2025-01-02,14.63,2.63
2,2,2025-01-02,5.49,0.49
2,3,2025-01-02,3.66,0.18
2,4,2025-01-02,7.32,0.44
2,5,2025-01-02,5.49,0.38
3,1,2025-01-02,294.74,53.05
3,2,2025-01-02,84.21,7.58
3,3,2025-01-02,294.74,14.74
3,4,2025-01-02,84.21,5.05
3,5,2025-01-02,84.21,5.89
4,1,2025-01-02,210.64,37.92
4,2,2025-01-02,84.26,7.58
4,3,2025-01-02,42.13,2.11
4,4,2025-01-02,21.06,1.26
4,5,2025-01-02,63.19,4.42
5,1,2025-01-02,757.48,136.35
5,2,2025-01-02,432.84,38.96
5,3,2025-01-02,216.42,10.82
5,4,2025-01-02,216.42,12.99
5,5,2025-01-02,541.05,37.87
1,1,2025-01-03,376.69,67.8
1,2,2025-01-03,188.35,16.95
1,3,2025-01-03,75.34,3.77
1,4,2025-01-03,37.67,2.26
1,5,2025-01-03,75.34,5.27
2,1,2025-01-03,32.02,5.76
2,2,2025-01-03,12.01,1.08
2,3,2025-01-03,8.0,0.4
2,4,2025-01-03,16.01,0.96
2,5,2025-01-03,12.01,0.84
3,1,2025-01-03,343.9,61.9
3,2,2025-01-03,98.26,8.84
3,3,2025-01-03,343.9,17.2
3,4,2025-01-03,98.26,5.9
3,5,2025-01-03,98.26,6.88
4,1,2025-01-03,189.91,34.18
4,2,2025-01-03,75.96,6.84
4,3,2025-01-03,37.98,1.9
4,4,2025-01-03,18.99,1.14
4,5,2025-01-03,56.97,3.99
5,1,2025-01-03,849.39,152.89
5,2,2025-01-03,485.37,43.68
5,3,2025-01-03,242.68,12.13
5,4,2025-01-03,242.68,14.56
5,5,2025-01-03,606.71,42.47
1,1,2025-01-04,210.94,37.97
1,2,2025-01-04,105.47,9.49
1,3,2025-01-04,42.19,2.11
1,4,2025-01-04,21.09,1.27
1,5,2025-01-04,42.19,2.95
2,1,2025-01-04,17.42,3.14
2,2,2025-01-04,6.53,0.59
2,3,2025-01-04,4.35,0.22
2,4,2025-01-04,8.71,0.52
2,5,2025-01-04,6.53,0.46
3,1,2025-01-04,216.75,39.02
3,2,2025-01-04,61.93,5.57
3,3,2025-01-04,216.75,10.84
3,4,2025-01-04,61.93,3.72
3,5,2025-01-04,61.93,4.34
4,1,2025-01-04,102.06,18.37
4,2,2025-01-04,40.83,3.67
4,3,2025-01-04,20.41,1.02
4,4,2025-01-04,10.21,0.61
4,5,2025-01-04,30.62,2.14
5,1,2025-01-04,477.63,85.97
5,2,2025-01-04,272.93,24.56
5,3,2025-01-04,136.47,6.82
5,4,2025-01-04,136.47,8.19
5,5,2025-01-04,341.17,23.88
1,1,2025-01-06,340.09,61.22
1,2,2025-01-06,170.04,15.3
1,3,2025-01-06,68.02,3.4
1,4,2025-01-06,34.01,2.04
1,5,2025-01-06,68.02,4.76
2,1,2025-01-06,24.8,4.46
2,2,2025-01-06,9.3,0.84
2,3,2025-01-06,6.2,0.31
2,4,2025-01-06,12.4,0.74
2,5,2025-01-06,9.3,0.65
3,1,2025-01-06,399.86,71.97
3,2,2025-01-06,114.25,10.28
3,3,2025-01-06,399.86,19.99
