site_id,product_id,production_date,quantity_produced,production_duration_minutes
1,1,2025-01-01,120,360
1,2,2025-01-01,154,264
2,3,2025-01-01,4,240
2,4,2025-01-01,11,330
3,5,2025-01-01,222,296
3,6,2025-01-01,307,263
4,7,2025-01-01,53,212
4,8,2025-01-01,83,249
5,9,2025-01-01,1258,419
5,10,2025-01-01,544,218
1,1,2025-01-02,117,351
1,2,2025-01-02,194,333
2,3,2025-01-02,4,240
2,4,2025-01-02,7,210
3,5,2025-01-02,183,244
3,6,2025-01-02,305,261
4,7,2025-01-02,59,236
4,8,2025-01-02,134,402
5,9,2025-01-02,727,242
5,10,2025-01-02,787,315
1,1,2025-01-03,92,276
1,2,2025-01-03,231,396
2,3,2025-01-03,10,600
2,4,2025-01-03,15,450
3,5,2025-01-03,267,356
3,6,2025-01-03,306,262
4,7,2025-01-03,73,292
4,8,2025-01-03,105,315
5,9,2025-01-03,706,235
5,10,2025-01-03,888,355
1,1,2025-01-04,79,237
1,2,2025-01-04,96,165
2,3,2025-01-04,6,360
2,4,2025-01-04,8,240
3,5,2025-01-04,148,197
3,6,2025-01-04,193,165
4,7,2025-01-04,32,128
4,8,2025-01-04,58,174
5,9,2025-01-04,626,209
5,10,2025-01-04,331,132
1,1,2025-01-06,87,261
1,2,2025-01-06,188,322
2,3,2025-01-06,4,240
2,4,2025-01-06,15,450
3,5,2025-01-06,235,313
3,6,2025-01-06,410,351
4,7,2025-01-06,84,336
4,8,2025-01-06,116,348
5,9,2025-01-06,1291,430
5,10,2025-01-06,598,239
1,1,2025-01-07,125,375
1,2,2025-01-07,148,254
2,3,2025-01-07,4,240
2,4,2025-01-07,10,300
3,5,2025-01-07,234,312
3,6,2025-01-07,270,231
4,7,2025-01-07,59,236
4,8,2025-01-07,82,246
5,9,2025-01-07,1089,363
5,10,2025-01-07,642,257
1,1,2025-01-08,109,327
1,2,2025-01-08,221,379
2,3,2025-01-08,11,660
2,4,2025-01-08,12,360
3,5,2025-01-08,201,268
3,6,2025-01-08,344,295
4,7,2025-01-08,67,268
4,8,2025-01-08,96,288
5,9,2025-01-08,973,324
5,10,2025-01-08,859,344
1,1,2025-01-09,139,417
1,2,2025-01-09,227,389
2,3,2025-01-09,10,600
2,4,2025-01-09,8,240
3,5,2025-01-09,203,271
3,6,2025-01-09,386,331
4,7,2025-01-09,60,240
4,8,2025-01-09,90,270
5,9,2025-01-09,1173,391
5,10,2025-01-09,694,278
1,1,2025-01-10,97,291
1,2,2025-01-10,221,379
2,3,2025-01-10,10,600
2,4,2025-01-10,15,450
3,5,2025-01-10,216,288
3,6,2025-01-10,425,364
4,7,2025-01-10,65,260
4,8,2025-01-10,77,231
5,9,2025-01-10,934,311
5,10,2025-01-10,920,368
1,1,2025-01-11,49,147
1,2,2025-01-11,108,185
2,3,2025-01-11,4,240
2,4,2025-01-11,7,210
3,5,2025-01-11,106,141
3,6,2025-01-11,182,156
4,7,2025-01-11,49,196
4,8,2025-01-11,66,198
5,9,2025-01-11,550,183
5,10,2025-01-11,501,200
