supplier_id,transport_company_id,site_id,transport_date,distance_km,co2_emissions_kg,transport_cost,transported_weight_kg
1,4,1,2025-01-01,451.73,0.87,376.28,78.99
2,2,1,2025-01-01,732.72,4.57,803.11,81.26
3,1,1,2025-01-01,863.43,5.29,997.45,71.32
4,5,1,2025-01-01,1798.28,2.13,1134.72,76.7
5,1,1,2025-01-01,917.83,5.49,1085.36,72.94
6,2,1,2025-01-01,451.3,2.62,492.58,73.54
7,2,1,2025-01-01,773.03,4.89,875.36,78.81
8,5,1,2025-01-01,1388.93,1.52,924.13,72.23
1,2,2,2025-01-01,544.18,0.36,588.92,8.78
2,3,2,2025-01-01,1027.55,0.72,1071.26,9.04
3,2,2,2025-01-01,628.41,0.41,679.29,8.21
4,5,2,2025-01-01,2091.37,0.26,1370.45,8.75
5,4,2,2025-01-01,1176.35,0.23,1029.33,7.87
6,4,2,2025-01-01,550.16,0.11,475.23,7.96
7,1,2,2025-01-01,924.26,0.59,1048.18,7.65
8,3,2,2025-01-01,1718.17,1.13,1773.06,8.55
1,2,3,2025-01-01,296.87,3.05,323.35,128.89
2,2,3,2025-01-01,1075.72,10.58,1179.52,119.95
3,5,3,2025-01-01,445.47,0.79,290.4,112.34
4,3,3,2025-01-01,2256.27,20.85,2322.0,127.62
5,4,3,2025-01-01,942.61,2.53,825.96,108.63
6,4,3,2025-01-01,292.54,0.92,252.32,120.29
7,1,3,2025-01-01,1069.08,10.64,1241.29,119.91
8,3,3,2025-01-01,1762.83,13.93,1876.76,110.89
1,4,4,2025-01-01,702.96,0.93,612.76,54.41
2,4,4,2025-01-01,1028.84,1.45,856.74,55.91
3,1,4,2025-01-01,903.54,4.42,1008.6,57.43
4,5,4,2025-01-01,1947.78,1.45,1303.23,50.18
5,2,4,2025-01-01,1266.13,5.26,1358.1,51.58
6,4,4,2025-01-01,718.99,0.92,621.29,49.71
7,1,4,2025-01-01,660.38,3.22,761.41,59.26
8,5,4,2025-01-01,1412.69,1.28,929.07,59.07
1,4,5,2025-01-01,608.33,6.11,518.32,396.09
2,4,5,2025-01-01,646.85,5.29,536.68,342.23
3,5,5,2025-01-01,1118.96,5.47,735.1,340.23
4,3,5,2025-01-01,1626.46,39.17,1712.5,326.62
