site_id,waste_date,waste_type,waste_quantity_kg,recyclable
1,2025-01-01,Metal Scrap,9.86,True
1,2025-01-01,Plastic Waste,4.46,True
1,2025-01-01,Electrical Waste,2.09,True
1,2025-01-01,Packaging Waste,3.11,False
2,2025-01-01,Metal Scrap,0.47,True
2,2025-01-01,Plastic Waste,0.24,True
2,2025-01-01,Electrical Waste,0.11,True
2,2025-01-01,Packaging Waste,0.14,False
3,2025-01-01,Metal Scrap,20.05,True
3,2025-01-01,Plastic Waste,9.49,True
3,2025-01-01,Electrical Waste,4.39,True
3,2025-01-01,Packaging Waste,6.99,False
4,2025-01-01,Metal Scrap,4.09,True
4,2025-01-01,Plastic Waste,2.19,True
4,2025-01-01,Electrical Waste,1.06,True
4,2025-01-01,Packaging Waste,1.56,False
5,2025-01-01,Metal Scrap,71.45,True
5,2025-01-01,Plastic Waste,39.62,True
5,2025-01-01,Electrical Waste,18.37,True
5,2025-01-01,Packaging Waste,23.39,False
1,2025-01-02,Metal Scrap,11.55,True
1,2025-01-02,Plastic Waste,5.82,True
1,2025-01-02,Electrical Waste,2.41,True
1,2025-01-02,Packaging Waste,3.47,False
2,2025-01-02,Metal Scrap,0.36,True
2,2025-01-02,Plastic Waste,0.16,True
2,2025-01-02,Electrical Waste,0.07,True
2,2025-01-02,Packaging Waste,0.1,False
3,2025-01-02,Metal Scrap,20.09,True
3,2025-01-02,Plastic Waste,9.86,True
3,2025-01-02,Electrical Waste,4.56,True
3,2025-01-02,Packaging Waste,6.74,False
4,2025-01-02,Metal Scrap,6.46,True
4,2025-01-02,Plastic Waste,3.61,True
4,2025-01-02,Electrical Waste,1.43,True
4,2025-01-02,Packaging Waste,2.22,False
5,2025-01-02,Metal Scrap,67.78,True
5,2025-01-02,Plastic Waste,33.48,True
5,2025-01-02,Electrical Waste,15.59,True
5,2025-01-02,Packaging Waste,22.14,False
1,2025-01-03,Metal Scrap,11.77,True
1,2025-01-03,Plastic Waste,5.29,True
1,2025-01-03,Electrical Waste,2.44,True
1,2025-01-03,Packaging Waste,3.71,False
2,2025-01-03,Metal Scrap,0.68,True
2,2025-01-03,Plastic Waste,0.36,True
2,2025-01-03,Electrical Waste,0.16,True
2,2025-01-03,Packaging Waste,0.24,False
3,2025-01-03,Metal Scrap,22.66,True
3,2025-01-03,Plastic Waste,11.04,True
3,2025-01-03,Electrical Waste,4.91,True
3,2025-01-03,Packaging Waste,7.12,False
4,2025-01-03,Metal Scrap,5.64,True
4,2025-01-03,Plastic Waste,3.31,True
4,2025-01-03,Electrical Waste,1.39,True
4,2025-01-03,Packaging Waste,2.07,False
5,2025-01-03,Metal Scrap,62.54,True
5,2025-01-03,Plastic Waste,36.01,True
5,2025-01-03,Electrical Waste,14.27,True
5,2025-01-03,Packaging Waste,22.4,False
1,2025-01-04,Metal Scrap,4.03,True
1,2025-01-04,Plastic Waste,1.94,True
1,2025-01-04,Electrical Waste,0.85,True
1,2025-01-04,Packaging Waste,1.31,False
2,2025-01-04,Metal Scrap,0.27,True
2,2025-01-04,Plastic Waste,0.14,True
2,2025-01-04,Electrical Waste,0.05,True
2,2025-01-04,Packaging Waste,0.08,False
3,2025-01-04,Metal Scrap,7.59,True
3,2025-01-04,Plastic Waste,3.86,True
3,2025-01-04,Electrical Waste,1.7,True
3,2025-01-04,Packaging Waste,2.94,False
4,2025-01-04,Metal Scrap,1.93,True
4,2025-01-04,Plastic Waste,0.89,True
4,2025-01-04,Electrical Waste,0.42,True
4,2025-01-04,Packaging Waste,0.6,False
5,2025-01-04,Metal Scrap,26.12,True
5,2025-01-04,Plastic Waste,12.3,True
5,2025-01-04,Electrical Waste,5.25,True
5,2025-01-04,Packaging Waste,7.85,False
1,2025-01-06,Metal Scrap,9.74,True
1,2025-01-06,Plastic Waste,4.72,True
1,2025-01-06,Electrical Waste,2.24,True
1,2025-01-06,Packaging Waste,3.56,False
2,2025-01-06,Metal Scrap,0.55,True
2,2025-01-06,Plastic Waste,0.27,True
2,2025-01-06,Electrical Waste,0.14,True
2,2025-01-06,Packaging Waste,0.19,False
3,2025-01-06,Metal Scrap,22.8,True
3,2025-01-06,Plastic Waste,11.61,True
3,2025-01-06,Electrical Waste,5.23,True
3,2025-01-06,Packaging Waste,8.73,False
4,2025-01-06,Metal Scrap,7.04,True
4,2025-01-06,Plastic Waste,3.37,True
4,2025-01-06,Electrical Waste,1.39,True
4,2025-01-06,Packaging Waste,2.23,False
5,2025-01-06,Metal Scrap,87.21,True
5,2025-01-06,Plastic Waste,41.04,True
5,2025-01-06,Electrical Waste,19.84,True
5,2025-01-06,Packaging Waste,29.16,False
1,2025-01-07,Metal Scrap,8.62,True
