site_id,water_date,water_consumption_m3,water_cost
1,2025-01-01,58.64,246.29
2,2025-01-01,19.18,80.56
3,2025-01-01,95.97,403.07
4,2025-01-01,42.12,176.9
5,2025-01-01,356.27,1496.33
1,2025-01-02,63.15,265.23
2,2025-01-02,20.61,86.56
3,2025-01-02,88.53,371.83
4,2025-01-02,48.35,203.07
5,2025-01-02,284.74,1195.91
1,2025-01-03,61.64,258.89
2,2025-01-03,20.91,87.82
3,2025-01-03,99.51,417.94
4,2025-01-03,45.89,192.74
5,2025-01-03,317.16,1332.07
1,2025-01-04,28.06,117.85
2,2025-01-04,11.7,49.14
3,2025-01-04,43.22,181.52
4,2025-01-04,24.09,101.18
5,2025-01-04,116.1,487.62
1,2025-01-06,59.72,250.82
2,2025-01-06,20.85,87.57
3,2025-01-06,112.88,474.1
4,2025-01-06,47.7,200.34
5,2025-01-06,379.51,1593.94
1,2025-01-07,56.78,238.48
2,2025-01-07,19.25,80.85
3,2025-01-07,90.8,381.36
4,2025-01-07,45.32,190.34
5,2025-01-07,339.39,1425.44
1,2025-01-08,66.19,278.0
2,2025-01-08,21.22,89.12
3,2025-01-08,100.83,423.49
4,2025-01-08,48.06,201.85
5,2025-01-08,348.88,1465.3
1,2025-01-09,68.68,288.46
2,2025-01-09,21.04,88.37
3,2025-01-09,108.0,453.6
4,2025-01-09,46.27,194.33
5,2025-01-09,361.94,1520.15
1,2025-01-10,64.14,269.39
2,2025-01-10,19.95,83.79
3,2025-01-10,111.04,466.37
4,2025-01-10,42.97,180.47
5,2025-01-10,341.94,1436.15
1,2025-01-11,25.99,109.16
2,2025-01-11,11.43,48.01
3,2025-01-11,37.45,157.29
4,2025-01-11,25.13,105.55
5,2025-01-11,129.99,545.96
1,2025-01-13,63.5,266.7
2,2025-01-13,20.07,84.29
3,2025-01-13,106.33,446.59
4,2025-01-13,46.2,194.04
5,2025-01-13,382.87,1608.05
1,2025-01-14,63.88,268.3
2,2025-01-14,19.26,80.89
3,2025-01-14,112.09,470.78
4,2025-01-14,45.81,192.4
5,2025-01-14,286.41,1202.92
1,2025-01-15,66.17,277.91
2,2025-01-15,21.04,88.37
3,2025-01-15,111.07,466.49
4,2025-01-15,43.44,182.45
5,2025-01-15,418.52,1757.78
1,2025-01-16,66.58,279.64
2,2025-01-16,20.11,84.46
3,2025-01-16,91.42,383.96
4,2025-01-16,44.94,188.75
5,2025-01-16,317.08,1331.74
1,2025-01-17,65.46,274.93
2,2025-01-17,21.59,90.68
3,2025-01-17,110.01,462.04
4,2025-01-17,44.66,187.57
5,2025-01-17,393.05,1650.81
1,2025-01-18,25.95,108.99
2,2025-01-18,12.35,51.87
3,2025-01-18,51.77,217.43
4,2025-01-18,22.76,95.59
5,2025-01-18,130.23,546.97
1,2025-01-20,56.47,237.17
2,2025-01-20,20.48,86.02
3,2025-01-20,91.11,382.66
4,2025-01-20,53.04,222.77
5,2025-01-20,351.99,1478.36
1,2025-01-21,59.43,249.61
2,2025-01-21,21.86,91.81
3,2025-01-21,108.69,456.5
4,2025-01-21,45.92,192.86
5,2025-01-21,319.38,1341.4
1,2025-01-22,63.36,266.11
2,2025-01-22,20.86,87.61
3,2025-01-22,119.82,503.24
4,2025-01-22,44.59,187.28
5,2025-01-22,277.25,1164.45
1,2025-01-23,53.66,225.37
2,2025-01-23,21.86,91.81
3,2025-01-23,111.19,467.0
4,2025-01-23,44.66,187.57
5,2025-01-23,330.83,1389.49
1,2025-01-24,54.25,227.85
2,2025-01-24,20.51,86.14
3,2025-01-24,96.05,403.41
4,2025-01-24,48.06,201.85
5,2025-01-24,303.68,1275.46
1,2025-01-25,29.64,124.49
2,2025-01-25,11.48,48.22
3,2025-01-25,45.61,191.56
4,2025-01-25,25.36,106.51
5,2025-01-25,144.08,605.14
1,2025-01-27,68.05,285.81
2,2025-01-27,19.44,81.65
3,2025-01-27,98.05,411.81
4,2025-01-27,43.12,181.1
5,2025-01-27,317.89,1335.14
1,2025-01-28,63.05,264.81
2,2025-01-28,19.88,83.5
3,2025-01-28,104.6,439.32
4,2025-01-28,49.07,206.09
5,2025-01-28,352.47,1480.37
1,2025-01-29,60.99,256.16
2,2025-01-29,20.83,87.49
3,2025-01-29,88.91,373.42
4,2025-01-29,51.93,218.11
5,2025-01-29,315.88,1326.7
1,2025-01-30,62.08,260.74
2,2025-01-30,19.61,82.36
3,2025-01-30,106.41,446.92
4,2025-01-30,51.96,218.23
5,2025-01-30,369.83,1553.29
1,2025-01-31,54.26,227.89
2,2025-01-31,19.54,82.07
3,2025-01-31,98.94,415.55
4,2025-01-31,50.52,212.18
5,2025-01-31,318.21,1336.48
1,2025-02-01,30.55,128.31
2,2025-02-01,11.61,48.76
3,2025-02-01,44.13,185.35
4,2025-02-01,24.46,102.73
5,2025-02-01,136.66,573.97
1,2025-02-03,62.24,261.41
2,2025-02-03,21.08,88.54
3,2025-02-03,86.83,364.69
4,2025-02-03,47.0,197.4
5,2025-02-03,281.4,1181.88
1,2025-02-04,55.28,232.18
2,2025-02-04,20.6,86.52
3,2025-02-04,102.48,430.42
4,2025-02-04,46.26,194.29
5,2025-02-04,390.82,1641.44
1,2025-02-05,63.93,268.51
2,2025-02-05,20.6,86.52
3,2025-02-05,110.89,465.74
4,2025-02-05,45.39,190.64
5,2025-02-05,308.69,1296.5
1,2025-02-06,57.57,241.79
2,2025-02-06,19.96,83.83
3,2025-02-06,110.26,463.09
4,2025-02-06,40.67,170.81
5,2025-02-06,369.05,1550.01
1,2025-02-07,54.7,229.74
2,2025-02-07,20.71,86.98
3,2025-02-07,104.39,438.44
4,2025-02-07,46.16,193.87
5,2025-02-07,397.05,1667.61
1,2025-02-08,25.29,106.22
2,2025-02-08,11.59,48.68
3,2025-02-08,43.21,181.48
4,2025-02-08,23.92,100.46
5,2025-02-08,126.53,531.43
1,2025-02-10,60.24,253.01
2,2025-02-10,20.59,86.48
3,2025-02-10,100.76,423.19
4,2025-02-10,49.93,209.71
5,2025-02-10,387.83,1628.89
1,2025-02-11,52.51,220.54
2,2025-02-11,19.47,81.77
3,2025-02-11,92.13,386.95
4,2025-02-11,44.97,188.87
5,2025-02-11,322.52,1354.58
1,2025-02-12,57.06,239.65
2,2025-02-12,21.19,89.0
3,2025-02-12,122.81,515.8
4,2025-02-12,40.94,171.95
5,2025-02-12,337.54,1417.67
1,2025-02-13,67.0,281.4
2,2025-02-13,21.34,89.63
3,2025-02-13,93.49,392.66
4,2025-02-13,49.89,209.54
5,2025-02-13,306.96,1289.23
1,2025-02-14,52.75,221.55
2,2025-02-14,19.99,83.96
3,2025-02-14,93.23,391.57
4,2025-02-14,47.43,199.21
5,2025-02-14,292.33,1227.79
1,2025-02-15,30.99,130.16
2,2025-02-15,12.14,50.99
3,2025-02-15,37.97,159.47
4,2025-02-15,24.42,102.56
5,2025-02-15,128.67,540.41
1,2025-02-17,61.5,258.3
2,2025-02-17,21.08,88.54
3,2025-02-17,114.44,480.65
4,2025-02-17,44.35,186.27
5,2025-02-17,285.73,1200.07
1,2025-02-18,57.51,241.54
2,2025-02-18,20.32,85.34
3,2025-02-18,89.63,376.45
4,2025-02-18,46.55,195.51
5,2025-02-18,386.99,1625.36
1,2025-02-19,62.82,263.84
2,2025-02-19,20.63,86.65
3,2025-02-19,94.34,396.23
4,2025-02-19,45.15,189.63
5,2025-02-19,273.12,1147.1
1,2025-02-20,65.37,274.55
2,2025-02-20,20.56,86.35
3,2025-02-20,121.73,511.27
4,2025-02-20,44.12,185.3
5,2025-02-20,383.18,1609.36
1,2025-02-21,61.26,257.29
2,2025-02-21,20.22,84.92
3,2025-02-21,97.45,409.29
4,2025-02-21,52.18,219.16
5,2025-02-21,297.49,1249.46
1,2025-02-22,26.65,111.93
2,2025-02-22,12.04,50.57
3,2025-02-22,49.13,206.35
4,2025-02-22,22.9,96.18
5,2025-02-22,145.89,612.74
1,2025-02-24,61.31,257.5
2,2025-02-24,19.8,83.16
3,2025-02-24,107.89,453.14
4,2025-02-24,45.43,190.81
5,2025-02-24,314.69,1321.7
1,2025-02-25,57.17,240.11
2,2025-02-25,21.56,90.55
3,2025-02-25,111.38,467.8
4,2025-02-25,46.99,197.36
5,2025-02-25,380.4,1597.68
1,2025-02-26,67.55,283.71
2,2025-02-26,20.23,84.97
3,2025-02-26,110.4,463.68
4,2025-02-26,51.45,216.09
5,2025-02-26,323.15,1357.23
1,2025-02-27,70.97,298.07
2,2025-02-27,19.76,82.99
3,2025-02-27,95.47,400.97
4,2025-02-27,43.19,181.4
5,2025-02-27,269.02,1129.88
1,2025-02-28,62.82,263.84
2,2025-02-28,20.96,88.03
3,2025-02-28,108.04,453.77
4,2025-02-28,47.21,198.28
5,2025-02-28,373.29,1567.82
1,2025-03-01,30.18,126.76
2,2025-03-01,11.81,49.6
3,2025-03-01,50.62,212.6
4,2025-03-01,24.73,103.87
5,2025-03-01,147.42,619.16
1,2025-03-03,69.43,291.61
2,2025-03-03,22.34,93.83
3,2025-03-03,134.27,563.93
4,2025-03-03,50.32,211.34
5,2025-03-03,413.37,1736.15
1,2025-03-04,64.94,272.75
2,2025-03-04,22.0,92.4
3,2025-03-04,127.42,535.16
4,2025-03-04,49.25,206.85
5,2025-03-04,378.96,1591.63
1,2025-03-05,64.79,272.12
2,2025-03-05,21.09,88.58
3,2025-03-05,126.84,532.73
4,2025-03-05,50.42,211.76
5,2025-03-05,326.43,1371.01
1,2025-03-06,62.58,262.84
2,2025-03-06,20.14,84.59
3,2025-03-06,108.27,454.73
4,2025-03-06,46.71,196.18
5,2025-03-06,306.36,1286.71
1,2025-03-07,65.15,273.63
2,2025-03-07,20.96,88.03
3,2025-03-07,130.58,548.44
4,2025-03-07,45.3,190.26
5,2025-03-07,370.79,1557.32
1,2025-03-08,34.34,144.23
2,2025-03-08,12.86,54.01
3,2025-03-08,49.55,208.11
4,2025-03-08,24.77,104.03
5,2025-03-08,144.37,606.35
1,2025-03-10,57.4,241.08
2,2025-03-10,22.02,92.48
3,2025-03-10,119.82,503.24
4,2025-03-10,49.88,209.5
5,2025-03-10,354.74,1489.91
1,2025-03-11,66.74,280.31
2,2025-03-11,20.97,88.07
3,2025-03-11,116.11,487.66
4,2025-03-11,45.87,192.65
5,2025-03-11,373.48,1568.62
1,2025-03-12,61.09,256.58
2,2025-03-12,21.54,90.47
3,2025-03-12,123.71,519.58
4,2025-03-12,50.21,210.88
5,2025-03-12,340.96,1432.03
1,2025-03-13,64.04,268.97
2,2025-03-13,20.64,86.69
3,2025-03-13,116.52,489.38
4,2025-03-13,48.91,205.42
5,2025-03-13,355.33,1492.39
1,2025-03-14,62.68,263.26
2,2025-03-14,20.66,86.77
3,2025-03-14,100.62,422.6
4,2025-03-14,43.12,181.1
5,2025-03-14,316.67,1330.01
1,2025-03-15,30.38,127.6
2,2025-03-15,12.32,51.74
3,2025-03-15,49.64,208.49
4,2025-03-15,25.14,105.59
5,2025-03-15,138.59,582.08
1,2025-03-17,67.7,284.34
2,2025-03-17,22.29,93.62
3,2025-03-17,123.42,518.36
4,2025-03-17,52.95,222.39
5,2025-03-17,324.6,1363.32
1,2025-03-18,66.37,278.75
2,2025-03-18,21.0,88.2
3,2025-03-18,112.5,472.5
4,2025-03-18,53.88,226.3
5,2025-03-18,344.63,1447.45
1,2025-03-19,70.2,294.84
2,2025-03-19,20.47,85.97
3,2025-03-19,133.79,561.92
4,2025-03-19,47.66,200.17
5,2025-03-19,397.36,1668.91
1,2025-03-20,70.65,296.73
2,2025-03-20,20.77,87.23
3,2025-03-20,121.01,508.24
4,2025-03-20,50.0,210.0
5,2025-03-20,420.11,1764.46
1,2025-03-21,67.0,281.4
2,2025-03-21,20.78,87.28
3,2025-03-21,109.86,461.41
4,2025-03-21,46.04,193.37
5,2025-03-21,357.06,1499.65
1,2025-03-22,32.04,134.57
2,2025-03-22,13.16,55.27
3,2025-03-22,43.3,181.86
4,2025-03-22,26.35,110.67
5,2025-03-22,129.83,545.29
1,2025-03-24,64.19,269.6
2,2025-03-24,21.12,88.7
3,2025-03-24,135.14,567.59
4,2025-03-24,48.08,201.94
5,2025-03-24,424.11,1781.26
1,2025-03-25,65.08,273.34
2,2025-03-25,22.01,92.44
3,2025-03-25,105.32,442.34
4,2025-03-25,48.04,201.77
5,2025-03-25,328.73,1380.67
1,2025-03-26,69.88,293.5
2,2025-03-26,21.12,88.7
3,2025-03-26,129.76,544.99
4,2025-03-26,53.26,223.69
5,2025-03-26,347.21,1458.28
1,2025-03-27,67.15,282.03
2,2025-03-27,20.76,87.19
3,2025-03-27,114.24,479.81
4,2025-03-27,44.28,185.98
5,2025-03-27,341.04,1432.37
1,2025-03-28,68.46,287.53
